atom_id,category,n_enriched_concepts,enriched_concepts,fire_count,fire_pct,contributes_to
1453,Entangled,2,TXT:Probable supraventricular tachycardia; TXT:Atrial flutter with uncontrolled ventric,2512,0.3139862631009893,
1454,Uninformative,0,,68261,8.532251713987513,
1455,Uninformative,0,,23464,2.9328716868637,
1456,Uninformative,0,,8918,1.1147012318211078,
1457,Uninformative,0,,5407,0.6758454317623604,
1458,Uninformative,0,,3,0.0003749835944677,
1459,Uninformative,0,,2,0.0002499890629784,
1460,Uninformative,0,,1,0.0001249945314892,
1461,Uninformative,0,,38162,4.770041310692657,
1462,Uninformative,0,,3,0.0003749835944677,
1463,Uninformative,0,,24426,3.053116426156356,
1464,Uninformative,0,,921,0.1151199635015968,
1465,Uninformative,0,,3435,0.4293562156655646,
1466,Uninformative,0,,19335,2.416769266344597,
1467,Uninformative,0,,5528,0.6909697700725593,
1468,Uninformative,0,,1246,0.1557431862356021,
1469,Uninformative,0,,8,0.0009999562519139,
1470,Uninformative,0,,2,0.0002499890629784,
1471,Uninformative,0,,6704,0.8379633391039142,
1472,Uninformative,0,,8,0.0009999562519139,
1473,Uninformative,0,,42,0.0052497703225483,
1474,Uninformative,0,,23,0.0028748742242526,
1475,Entangled,2,"TXT:Abnormal R-wave progression, early trans; TXT:ST elev, probable normal early repol pat",55056,6.881698925672002,
1476,Uninformative,0,,35,0.0043748086021236,
1477,Entangled,2,TXT:Accelerated idioventricular rhythm; TXT:Possible idioventricular rhythm with slo,42316,5.28926859449899,
1478,Contributing,0,,44976,5.621754048260389,TXT:Junctional rhythm
1479,Uninformative,0,,19446,2.430643659339904,
1480,Uninformative,0,,4252,0.5314767478922797,
1481,Uninformative,0,,2,0.0002499890629784,
1482,Uninformative,0,,10959,1.3698150705906618,
1483,Uninformative,0,,14869,1.8585436887136189,
1484,Uninformative,0,,86018,10.751779609642078,
1485,Uninformative,0,,14,0.0017499234408494,
1486,Uninformative,0,,2958,0.3697338241451936,
1487,Entangled,2,TXT:Atrial fibrillation with slow ventricula; TXT:Marked sinus bradycardia,35851,4.481178948421007,TXT:Atrial pacing
1488,Uninformative,0,,16,0.0019999125038279,
1489,Uninformative,0,,69682,8.709868943233733,
1490,Uninformative,0,,13035,1.629303717962339,
1491,Uninformative,0,,6,0.0007499671889354,
1492,Uninformative,0,,57903,7.237558356821889,
1493,Uninformative,0,,2,0.0002499890629784,
1494,Uninformative,0,,15709,1.9635390951645864,
1495,Uninformative,0,,5410,0.6762204153568281,
1496,Uninformative,0,,2,0.0002499890629784,
1497,Uninformative,0,,5351,0.6688457379989625,
1498,Uninformative,0,,35325,4.415431824857662,
1499,Entangled,4,"TXT:Probable sinus tachycardia; TXT:Probable supraventricular tachycardia; TXT:Atrial flutter with uncontrolled ventric; TXT:Extreme tachycardia with wide complex, n",4104,0.5129775572318711,
1500,Uninformative,0,,16712,2.0889086102483017,
1501,Uninformative,0,,2099,0.2623635215959302,
1502,Uninformative,0,,859,0.1073703025492634,
1503,Uninformative,0,,15,0.0018749179723387,
1504,Uninformative,0,,29960,3.74483616341785,
1505,Dead,0,,0,0.0,
1506,Uninformative,0,,4,0.0004999781259569,
1507,Uninformative,0,,2,0.0002499890629784,
1508,Separable,1,TXT:Marked sinus bradycardia,9036,1.129450586536839,
1509,Uninformative,0,,10066,1.2581949539707638,
1510,Uninformative,0,,60623,7.577543482472642,
1511,Uninformative,0,,13339,1.6673020555350704,
1512,Uninformative,0,,51,0.0063747211059516,
1513,Separable,1,TXT:A-V sequential pacemaker,20996,2.624385183148237,
1514,Uninformative,0,,21354,2.669133225421388,
1515,Uninformative,0,,14975,1.871793109051479,
1516,Uninformative,0,,211,0.0263738461442311,
1517,Uninformative,0,,56129,7.015818057959964,
1518,Uninformative,0,,24038,3.004618547938528,
1519,Uninformative,0,,52014,6.501465560881711,
1520,Uninformative,0,,75994,9.498834425993865,
1521,Uninformative,0,,56,0.0069996937633978,
1522,Dead,0,,0,0.0,
1523,Separable,1,TXT:Probable sinus tachycardia,2231,0.2788627997525108,
1524,Contributing,0,,118809,14.850475291705989,TXT:Tall T waves - consider acute ischemia o
1525,Uninformative,0,,56963,7.120063497221997,
