atom_id,category,n_enriched_concepts,enriched_concepts,fire_count,fire_pct,category_grouped,n_enriched_groups,enriched_groups,entangled_subtype
896,Uninformative,0,,46,0.0057497484485053,Uninformative,0,,
897,Uninformative,0,,15839,1.9797883842581887,Uninformative,0,,
898,Uninformative,0,,93046,11.630241176948507,Uninformative,0,,
899,Separable,1,TXT:Atrial flutter with 4:1 A-V block,17570,2.196153918266076,Separable,1,atrial_flutter,
900,Uninformative,0,,12,0.0014999343778709,Uninformative,0,,
901,Uninformative,0,,9,0.0011249507834032,Uninformative,0,,
902,Uninformative,0,,19496,2.436893385914366,Uninformative,0,,
903,Uninformative,0,,50148,6.268225765122776,Uninformative,0,,
904,Uninformative,0,,1408,0.1759923003368602,Uninformative,0,,
905,Uninformative,0,,43716,5.464260938583937,Uninformative,0,,
906,Uninformative,0,,2115,0.2643634340997581,Uninformative,0,,
907,Uninformative,0,,14987,1.87329304342935,Uninformative,0,,
908,Uninformative,0,,70,0.0087496172042473,Uninformative,0,,
909,Uninformative,0,,17988,2.2484016324285814,Uninformative,0,,
910,Uninformative,0,,4,0.0004999781259569,Uninformative,0,,
911,Uninformative,0,,18,0.0022499015668064,Uninformative,0,,
912,Uninformative,0,,17919,2.2397770097558234,Uninformative,0,,
913,Uninformative,0,,15570,1.9461648552875808,Uninformative,0,,
914,Uninformative,0,,2059,0.2573637403363603,Uninformative,0,,
915,Separable,1,TXT:Atrial-sensed ventricular-paced rhythm,3228,0.4034823476472904,Separable,1,pacing,
916,Uninformative,0,,6404,0.80046497965714,Uninformative,0,,
917,Uninformative,0,,23771,2.9712450080308987,Uninformative,0,,
918,Uninformative,0,,11,0.0013749398463817,Uninformative,0,,
919,Uninformative,0,,12,0.0014999343778709,Uninformative,0,,
920,Uninformative,0,,23,0.0028748742242526,Uninformative,0,,
921,Uninformative,0,,155,0.0193741523808333,Uninformative,0,,
922,Uninformative,0,,9,0.0011249507834032,Uninformative,0,,
923,Uninformative,0,,18,0.0022499015668064,Uninformative,0,,
